  0.16563862E+01 -0.14199922E+02
  0.16673557E+01 -0.14202040E+02
  0.16783251E+01 -0.14204131E+02
  0.16892946E+01 -0.14206025E+02
  0.17002640E+01 -0.14207567E+02
  0.17112335E+01 -0.14208640E+02
  0.17222029E+01 -0.14209194E+02
  0.17331724E+01 -0.14209261E+02
  0.17441418E+01 -0.14208961E+02
  0.17551112E+01 -0.14208470E+02
  0.17660807E+01 -0.14207979E+02
  0.17770501E+01 -0.14207649E+02
  0.17880196E+01 -0.14207585E+02
  0.17989890E+01 -0.14207828E+02
  0.18099585E+01 -0.14208376E+02
  0.18209279E+01 -0.14209197E+02
  0.18318974E+01 -0.14210238E+02
  0.18428668E+01 -0.14211430E+02
  0.18538363E+01 -0.14212670E+02
  0.18648057E+01 -0.14213832E+02
  0.18757751E+01 -0.14214778E+02
  0.18867446E+01 -0.14215392E+02
  0.18977140E+01 -0.14215620E+02
  0.19086835E+01 -0.14215487E+02
  0.19196529E+01 -0.14215090E+02
  0.19306224E+01 -0.14214566E+02
  0.19415918E+01 -0.14214049E+02
  0.19525613E+01 -0.14213640E+02
  0.19635307E+01 -0.14213398E+02
  0.19745002E+01 -0.14213342E+02
  0.19854615E+01 -0.14212982E+02
  0.19964228E+01 -0.14212078E+02
  0.20073842E+01 -0.14210757E+02
  0.20183455E+01 -0.14209188E+02
  0.20293068E+01 -0.14207547E+02
  0.20402682E+01 -0.14205966E+02
  0.20512295E+01 -0.14204505E+02
  0.20621909E+01 -0.14203129E+02
  0.20731522E+01 -0.14201707E+02
  0.20841135E+01 -0.14200034E+02
  0.20950749E+01 -0.14197865E+02
  0.21060362E+01 -0.14194960E+02
  0.21169976E+01 -0.14191138E+02
  0.21279589E+01 -0.14186305E+02
  0.21389202E+01 -0.14180476E+02
  0.21498816E+01 -0.14173771E+02
  0.21608429E+01 -0.14166385E+02
  0.21718043E+01 -0.14158546E+02
  0.21827656E+01 -0.14150463E+02
  0.21937269E+01 -0.14142275E+02
  0.22046883E+01 -0.14134022E+02
  0.22156496E+01 -0.14125627E+02
  0.22266110E+01 -0.14116913E+02
  0.22375723E+01 -0.14107639E+02
  0.22485336E+01 -0.14097553E+02
  0.22594950E+01 -0.14086446E+02
  0.22704563E+01 -0.14074209E+02
  0.22814177E+01 -0.14060853E+02
  0.22923790E+01 -0.14046516E+02
  0.23033403E+01 -0.14031429E+02
  0.23143017E+01 -0.14015863E+02
  0.23252630E+01 -0.14000060E+02
  0.23362244E+01 -0.13984160E+02
  0.23471857E+01 -0.13968144E+02
  0.23581470E+01 -0.13951803E+02
  0.23691084E+01 -0.13934742E+02
  0.23800697E+01 -0.13916429E+02
  0.23910311E+01 -0.13896274E+02
  0.24019924E+01 -0.13873747E+02
  0.24129537E+01 -0.13848480E+02
  0.24239151E+01 -0.13820363E+02
  0.24348764E+01 -0.13789581E+02
  0.24458378E+01 -0.13756603E+02
  0.24567991E+01 -0.13722099E+02
  0.24677604E+01 -0.13686823E+02
  0.24787218E+01 -0.13651470E+02
  0.24896831E+01 -0.13616543E+02
  0.25006445E+01 -0.13582255E+02
  0.25116058E+01 -0.13548481E+02
  0.25225671E+01 -0.13514774E+02
  0.25335285E+01 -0.13480440E+02
  0.25444898E+01 -0.13444675E+02
  0.25554512E+01 -0.13406722E+02
  0.25664125E+01 -0.13366046E+02
  0.25773738E+01 -0.13322462E+02
  0.25883352E+01 -0.13276202E+02
  0.25992965E+01 -0.13227897E+02
  0.26102579E+01 -0.13178460E+02
  0.26212192E+01 -0.13128903E+02
  0.26321805E+01 -0.13080124E+02
  0.26431419E+01 -0.13032703E+02
  0.26541032E+01 -0.12986751E+02
  0.26650646E+01 -0.12941842E+02
  0.26760259E+01 -0.12897059E+02
  0.26869872E+01 -0.12851140E+02
  0.26979486E+01 -0.12802751E+02
  0.27089099E+01 -0.12750829E+02
  0.27198713E+01 -0.12694961E+02
  0.27308326E+01 -0.12635702E+02
  0.27417939E+01 -0.12574723E+02
  0.27527553E+01 -0.12514712E+02
  0.27637166E+01 -0.12458983E+02
  0.27746780E+01 -0.12410846E+02
  0.27856393E+01 -0.12372884E+02
  0.27966006E+01 -0.12346349E+02
  0.28075620E+01 -0.12330872E+02
  0.28185233E+01 -0.12324594E+02
  0.28294847E+01 -0.12324695E+02
  0.28404460E+01 -0.12328134E+02
  0.28514073E+01 -0.12332361E+02
  0.28623687E+01 -0.12335775E+02
  0.28733300E+01 -0.12337823E+02
  0.28842914E+01 -0.12338768E+02
  0.28952527E+01 -0.12339271E+02
  0.29062140E+01 -0.12339973E+02
  0.29171754E+01 -0.12341220E+02
  0.29281367E+01 -0.12342997E+02
  0.29390981E+01 -0.12345037E+02
  0.29500594E+01 -0.12346997E+02
  0.29610207E+01 -0.12348631E+02
  0.29719821E+01 -0.12349860E+02
  0.29829434E+01 -0.12350756E+02
  0.29939048E+01 -0.12351460E+02
  0.30048661E+01 -0.12352099E+02
  0.30158274E+01 -0.12352732E+02
  0.30267888E+01 -0.12353348E+02
  0.30377501E+01 -0.12353899E+02
  0.30487115E+01 -0.12354339E+02
  0.30596728E+01 -0.12354648E+02
  0.30706341E+01 -0.12354840E+02
  0.30815955E+01 -0.12354941E+02
  0.30925568E+01 -0.12354978E+02
  0.31035182E+01 -0.12354965E+02
  0.31144795E+01 -0.12354915E+02
  
  0.00000000E+00 -0.72031662E+01
  0.10969445E-01 -0.72029104E+01
  0.21938891E-01 -0.72021161E+01
  0.32908336E-01 -0.72006757E+01
  0.43877781E-01 -0.71984305E+01
  0.54847226E-01 -0.71952009E+01
  0.65816672E-01 -0.71908192E+01
  0.76786117E-01 -0.71851588E+01
  0.87755562E-01 -0.71781526E+01
  0.98725008E-01 -0.71697971E+01
  0.10969445E+00 -0.71601425E+01
  0.12066390E+00 -0.71492739E+01
  0.13163334E+00 -0.71372900E+01
  0.14260279E+00 -0.71242851E+01
  0.15357223E+00 -0.71103372E+01
  0.16454168E+00 -0.70955010E+01
  0.17551112E+00 -0.70798041E+01
  0.18648057E+00 -0.70632458E+01
  0.19745002E+00 -0.70458007E+01
  0.20841946E+00 -0.70274296E+01
  0.21938891E+00 -0.70080973E+01
  0.23035835E+00 -0.69877930E+01
  0.24132780E+00 -0.69665441E+01
  0.25229724E+00 -0.69444142E+01
  0.26326669E+00 -0.69214808E+01
  0.27423613E+00 -0.68978028E+01
  0.28520558E+00 -0.68733907E+01
  0.29617502E+00 -0.68482016E+01
  0.30714447E+00 -0.68221680E+01
  0.31811391E+00 -0.67952574E+01
  0.32908336E+00 -0.67675381E+01
  0.34005280E+00 -0.67392216E+01
  0.35102225E+00 -0.67106528E+01
  0.36199169E+00 -0.66822421E+01
  0.37296114E+00 -0.66543575E+01
  0.38393058E+00 -0.66272164E+01
  0.39490003E+00 -0.66008186E+01
  0.40586948E+00 -0.65749467E+01
  0.41683892E+00 -0.65492337E+01
  0.42780837E+00 -0.65232723E+01
  0.43877781E+00 -0.64967303E+01
  0.44974726E+00 -0.64694387E+01
  0.46071670E+00 -0.64414320E+01
  0.47168615E+00 -0.64129373E+01
  0.48265559E+00 -0.63843203E+01
  0.49362504E+00 -0.63560098E+01
  0.50459448E+00 -0.63284190E+01
  0.51556393E+00 -0.63018830E+01
  0.52653337E+00 -0.62766222E+01
  0.53750282E+00 -0.62527351E+01
  0.54847226E+00 -0.62302177E+01
  0.55944171E+00 -0.62090068E+01
  0.57041115E+00 -0.61890490E+01
  0.58138060E+00 -0.61704129E+01
  0.59235005E+00 -0.61535095E+01
  0.60331949E+00 -0.61396180E+01
  0.61428894E+00 -0.61321854E+01
  0.62525838E+00 -0.61378972E+01
  0.63622783E+00 -0.61594845E+01
  0.64719727E+00 -0.61900877E+01
  0.65816672E+00 -0.62238103E+01
  0.66913616E+00 -0.62585419E+01
  0.68010561E+00 -0.62938834E+01
  0.69107505E+00 -0.63300163E+01
  0.70204450E+00 -0.63672370E+01
  0.71301394E+00 -0.64057309E+01
  0.72398339E+00 -0.64454538E+01
  0.73495283E+00 -0.64860936E+01
  0.74592228E+00 -0.65271038E+01
  0.75689172E+00 -0.65677962E+01
  0.76786117E+00 -0.66074651E+01
  0.77883061E+00 -0.66455122E+01
  0.78980006E+00 -0.66815451E+01
  0.80076951E+00 -0.67154305E+01
  0.81173895E+00 -0.67472967E+01
  0.82270840E+00 -0.67774905E+01
  0.83367784E+00 -0.68064998E+01
  0.84464729E+00 -0.68348586E+01
  0.85561673E+00 -0.68630507E+01
  0.86658618E+00 -0.68914261E+01
  0.87755562E+00 -0.69201408E+01
  0.88852507E+00 -0.69491272E+01
  0.89949451E+00 -0.69780978E+01
  0.91046396E+00 -0.70065847E+01
  0.92143340E+00 -0.70340092E+01
  0.93240285E+00 -0.70597719E+01
  0.94337229E+00 -0.70833474E+01
  0.95434174E+00 -0.71043668E+01
  0.96531118E+00 -0.71226713E+01
  0.97628063E+00 -0.71383275E+01
  0.98725008E+00 -0.71516004E+01
  0.99821952E+00 -0.71628921E+01
  0.10091890E+01 -0.71726574E+01
  0.10201584E+01 -0.71813132E+01
  0.10311279E+01 -0.71891602E+01
  0.10420973E+01 -0.71963273E+01
  0.10530667E+01 -0.72027481E+01
  0.10640362E+01 -0.72081714E+01
  0.10750056E+01 -0.72122051E+01
  0.10859751E+01 -0.72143863E+01
  0.10969445E+01 -0.72142686E+01
  0.11079140E+01 -0.72115112E+01
  0.11188834E+01 -0.72059510E+01
  0.11298529E+01 -0.71976435E+01
  0.11408223E+01 -0.71868628E+01
  0.11517918E+01 -0.71844947E+01
  0.11627612E+01 -0.71993617E+01
  0.11737306E+01 -0.72131014E+01
  0.11847001E+01 -0.72256874E+01
  0.11956695E+01 -0.72371217E+01
  0.12066390E+01 -0.72474322E+01
  0.12176084E+01 -0.72566685E+01
  0.12285779E+01 -0.72648900E+01
  0.12395473E+01 -0.72721520E+01
  0.12505168E+01 -0.72784940E+01
  0.12614862E+01 -0.72839352E+01
  0.12724557E+01 -0.72884747E+01
  0.12834251E+01 -0.72920961E+01
  0.12943945E+01 -0.72947721E+01
  0.13053640E+01 -0.72964693E+01
